trade_date,stock_id,leader_id,sector_id,score_sector,score_leader,score_follow,score_total,suggest_entry,suggest_stop,position_value,shares,lots_1000,stock_name,market,themes
2025-12-26,2369,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.6083824034818143,1.1793260919552486,23.4,,,,,菱生,TWSE,UNKNOWN
2025-12-26,3055,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.5993355997609454,1.1757073704669012,82.5,,,,,蔚華科,TWSE,UNKNOWN
2025-12-26,2497,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.5806460106718561,1.1682315348312655,49.95,,,,,怡利電,TWSE,UNKNOWN
2025-12-26,3002,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.5718771701877046,1.1647239986376048,27.9,,,,,歐格,TWSE,UNKNOWN
2025-12-26,1618,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.5626243857082913,1.1610228848458395,43.65,,,,,合機,TWSE,UNKNOWN
2025-12-26,6272,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.5547284137098216,1.1578644960464517,48.8,,,,,驊陞,TWSE,UNKNOWN
2025-12-26,4989,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.4781973027159619,1.1272520516489077,47.8,,,,,榮科,TWSE,UNKNOWN
2025-12-26,2367,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.4731185554456643,1.1252205527407888,28.35,,,,,燿華,TWSE,UNKNOWN
2025-12-26,6706,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.4400873986919087,1.1120080900392866,134.0,,,,,惠特,TWSE,UNKNOWN
2025-12-26,6214,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.4330806495246392,1.1092053903723786,123.0,,,,,精誠,TWSE,UNKNOWN
2025-12-26,00738U,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.4264217775781194,1.1065418415937707,61.75,,,,,期元大道瓊白銀,TWSE,UNKNOWN
2025-12-26,6796,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.41190580008753425,1.1007354505975366,104.5,,,,,晉弘,TWSE,UNKNOWN
2025-12-26,8103,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.40528472452482794,1.0980870203724542,86.7,,,,,瀚荃,TWSE,UNKNOWN
2025-12-26,2406,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.39996976119792627,1.0959610350416935,27.3,,,,,國碩,TWSE,UNKNOWN
2025-12-26,1808,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.3959768453722635,1.0943638687114283,35.2,,,,,潤隆,TWSE,UNKNOWN
2025-12-26,6235,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.39574705958415857,1.0942719543961865,65.0,,,,,華孚,TWSE,UNKNOWN
2025-12-26,3715,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.3626077275635673,1.08101622158795,123.5,,,,,定穎投控,TWSE,UNKNOWN
2025-12-26,3060,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.35811169189327274,1.079217807319832,34.5,,,,,銘異,TWSE,UNKNOWN
2025-12-26,3149,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.3442901882159547,1.073689205848905,32.55,,,,,正達,TWSE,UNKNOWN
2025-12-26,3045,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.34242949033726944,1.0729449266974307,111.5,,,,,台灣大,TWSE,UNKNOWN
2025-12-26,4927,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.3396118724965958,1.0718178795611613,35.25,,,,,泰鼎-KY,TWSE,UNKNOWN
2025-12-26,2228,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.3365308376442446,1.0705854656202207,108.5,,,,,劍麟,TWSE,UNKNOWN
2025-12-26,00735,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.33383069060984927,1.0695054068064627,51.6,,,,,國泰臺韓科技,TWSE,UNKNOWN
2025-12-26,2441,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.3306021163174226,1.068213977089492,88.9,,,,,超豐,TWSE,UNKNOWN
2025-12-26,1216,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.32830639511970827,1.0672956886104064,80.5,,,,,統一,TWSE,UNKNOWN
2025-12-26,3543,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.2883025289451595,1.0512941421405868,45.1,,,,,州巧,TWSE,UNKNOWN
2025-12-26,00763U,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.28181955717014046,1.0487009534305791,31.57,,,,,期街口道瓊銅,TWSE,UNKNOWN
2025-12-26,1616,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.2636652366206514,1.0414392252107836,29.05,,,,,億泰,TWSE,UNKNOWN
2025-12-26,3016,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.2579495303038266,1.0391529426840536,52.2,,,,,嘉晶,TWSE,UNKNOWN
2025-12-26,3708,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.2558773895729196,1.0383240863916907,114.5,,,,,上緯投控,TWSE,UNKNOWN
2025-12-26,6209,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.2426817323036467,1.0330458234839817,67.8,,,,,今國光,TWSE,UNKNOWN
2025-12-26,4576,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.22359770047257688,1.0254122107515538,104.5,,,,,大銀微系統,TWSE,UNKNOWN
2025-12-26,1563,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.22320573653181244,1.025255425175248,47.7,,,,,巧新,TWSE,UNKNOWN
2025-12-26,8039,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.21671975155142348,1.0226610311830924,92.3,,,,,台虹,TWSE,UNKNOWN
2025-12-26,2637,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.202970848149744,1.0171614698224205,69.3,,,,,慧洋-KY,TWSE,UNKNOWN
2025-12-26,2385,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.19705639511970827,1.0147956886104064,115.0,,,,,群光,TWSE,UNKNOWN
2025-12-26,00685L,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1943271780577086,1.0137040017856065,126.5,,,,,群益臺灣加權正2,TWSE,UNKNOWN
2025-12-26,6243,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1934342402156248,1.0133468266487728,38.5,,,,,迅杰,TWSE,UNKNOWN
2025-12-26,6133,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1896562211325391,1.0118356190155386,21.75,,,,,金橋,TWSE,UNKNOWN
2025-12-26,4956,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.186875571461857,1.0107233591472657,22.35,,,,,光鋐,TWSE,UNKNOWN
2025-12-26,6412,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1867653082458876,1.010679253860878,92.8,,,,,群電,TWSE,UNKNOWN
2025-12-26,2504,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.18591926082036236,1.010340834890668,37.6,,,,,國產,TWSE,UNKNOWN
2025-12-26,2491,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.18375036623033425,1.0094732770546566,21.15,,,,,吉祥全,TWSE,UNKNOWN
2025-12-26,6213,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.17851033527177257,1.007377264671232,115.5,,,,,聯茂,TWSE,UNKNOWN
2025-12-26,3057,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.17787446397350556,1.0071229161519253,21.5,,,,,喬鼎,TWSE,UNKNOWN
2025-12-26,9933,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.17431691758569567,1.0056998975968012,31.85,,,,,中鼎,TWSE,UNKNOWN
2025-12-26,1609,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.17173016798993126,1.0046651977584955,38.85,,,,,大亞,TWSE,UNKNOWN
2025-12-26,1612,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1613891012078435,1.0005287710456603,35.1,,,,,宏泰,TWSE,UNKNOWN
2025-12-26,2528,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.15986031457407732,0.9999172563921539,30.65,,,,,皇普,TWSE,UNKNOWN
2025-12-26,2606,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.15844337559046182,0.9993504807987077,62.0,,,,,裕民,TWSE,UNKNOWN
2025-12-26,2388,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1574519983367481,0.9989539298972222,53.3,,,,,威盛,TWSE,UNKNOWN
2025-12-26,00663L,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1565644903312446,0.9985989266950208,46.36,,,,,國泰臺灣加權正2,TWSE,UNKNOWN
2025-12-26,6456,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.14798533388213692,0.9951672641153777,42.5,,,,,GIS-KY,TWSE,UNKNOWN
